en,tw,cn,type,clues,avoid_clues,note
code,程式碼,代碼,cross_strait,編譯；函式；函數；軟體；軟件；開發；程式；編寫；原始碼；除錯,,source code 常被簡寫為 code，因此要翻譯為程式碼。非 IT 語境則該有對應的翻譯
code generation,程式碼產生,代碼生成,cross_strait,,,
code page,內碼表,代碼頁,cross_strait,,,
voucher,折價券,代金券,cross_strait,購物；消費；折扣；優惠,,
token,權杖；代幣；詞元,令牌,cross_strait,,,區分驗證/授權、加密貨幣、NLP 分詞 (tokenization) 等不同語境
token ring,,令牌環,cross_strait,,,IEEE 802.5 token ring 不應意譯，tw 直接使用英文 token ring
Ethernet,乙太,以太,cross_strait,,,
Ethernet,乙太網,以太網,cross_strait,,,
memberwise,以成員為單元,以成員為單位,cross_strait,,,
memberwise copy,以成員為單元複製,以成員為單位的複製,cross_strait,,,
taskbar,工作列,任務欄,cross_strait,,,
task manager,工作管理員,任務管理器,cross_strait,,,
simulation/emulation,模擬,仿真,cross_strait,,,
enterprise mobility management,企業行動管理,企業移動管理,cross_strait,,,
Istanbul,伊斯坦堡,伊斯坦布爾,cross_strait,,,@geo city (城市)
Houston,休士頓,休斯敦,cross_strait,,,@geo city (城市)
Belize,貝里斯,伯利茲,cross_strait,,,@geo country (國名)
layout,版面配置,佈局,cross_strait,CSS；UI；介面；排版；設計,,layout
bitmap,點陣圖；位元映射；位元圖,位圖,cross_strait,圖片；像素；畫素；影像；圖形,,限圖形/程式設計語境
address allocation,位址配置,位址分配,cross_strait,,,compound:「位址」語境自動觸發「分配→配置」(@seealso 記憶體分配)
address space,定址空間,位址空間,cross_strait,作業系統；行程；執行緒；排程；OS,,限 IT 語境
bit field,位元欄,位域,cross_strait,,,
bitwise copy,逐位元複製,位拷貝,cross_strait,,,
bitwise operation/bit-wise operation,逐位元操作；逐位元運算,位操作,cross_strait,位元；mask；shift；程式碼,,
bit pattern,位元型樣,位模式,cross_strait,程式；軟體；系統；電腦；網路,,
low-level,低階,低級,cross_strait,,,
Cape Verde,維德角,佛得角,cross_strait,,,@geo country (國名)
Florence,佛羅倫斯,佛羅倫薩,cross_strait,,,@geo city (城市)
job,工作,作業,cross_strait,Job；job；批次；排程；佇列；queue,,限作業系統 job 語境。「作業系統」「家庭作業」等用法不替換
concurrency,並行,併發,cross_strait,,併發症,S2T 將「并」轉為「併」，但 concurrency 語境應為「並」行。「併發」(同時發生) 語意為醫學用法如「併發症」(@seealso 並發)
concurrent execution,並行執行,併發執行,cross_strait,,,"S2T 後形式。tw: 並行=concurrency (@seealso 並發執行, 併發)"
user process,使用者行程,使用者程序,cross_strait,,,user process；「程序」此處指 process (@seealso 程序管理)
routine,常式,例程,cross_strait,,,
dependency,相依性,依賴,cross_strait,套件；模組；npm；pip；安裝；版本,,dependency
dependency,相依套件,依賴項,cross_strait,安裝；套件；版本；管理,,
convenience store,便利商店,便利店,cross_strait,,,
portable,行動式；攜帶型,便攜式,cross_strait,,,
portable edition,可攜式版本,便攜版,cross_strait,程式；軟體；系統；電腦；網路,,
warranty,保固,保修,cross_strait,期限；維修；產品；售後,,
warranty period,保固期,保修期,cross_strait,,,
save,儲存,保存,cross_strait,檔案；存檔；按鈕；草稿；備份,食物；文化；遺產；期限,tw 日常亦用「保存」(保存食物、保存文化)，僅 IT 存檔語境改「儲存」
insulated cup,保溫杯,保暖杯,cross_strait,,,
leave without pay,留職停薪,保職停薪,cross_strait,,,
nanny/babysitter,保姆,保育員,cross_strait,,,
orphanage / child care,育幼院,保育院,cross_strait,,,
expiration date,保存期限,保質期,cross_strait,,,
signal-to-noise ratio (SNR),訊雜比,信噪比,cross_strait,,,
information,資訊,信息,cross_strait,軟體；軟件；資料庫；網路；資安,,tw 「信息」通常指 message (訊息) 或生物學名詞，限 IT 語境
information security,資訊安全,信息安全,cross_strait,,,
information technology (IT),資訊科技,信息技術,cross_strait,,,
pheromone,費洛蒙,信息素,cross_strait,,,tw 生物學用語以外來語「費洛蒙」為主流
information theory,資訊理論,信息論,cross_strait,,,
signal,訊號,信號,cross_strait,,,
channel,通道,信道,cross_strait,,,
modifier,修飾子；修飾詞；飾詞,修飾符,cross_strait,class；public；程式碼；宣告；類別,,
push-up,伏地挺身,俯臥撑,cross_strait,,,
repository,儲存庫,倉庫,cross_strait,git；Git；GitHub；clone；commit；push；pull；版本；分支；branch,,Git repository；一般語境「倉庫」(warehouse) 為正確 tw 用法
personal area network,個人區域網路,個人網,cross_strait,程式；軟體；系統；電腦；網路,,
personalize,個人化,個性化,cross_strait,,,
processor core (quantified),個處理器核,個核心,cross_strait,,,"量詞＋核心 在 CPU 語境指 processor core，非 kernel (@seealso CPU核心, 多核心)。exceptions 排除「核心」作形容詞(essential)的用法"
inverted index,反向索引,倒排索引,cross_strait,,,
inverted record,反向紀錄,倒排記錄,cross_strait,,,
countdown,倒數計時,倒讀秒,cross_strait,,,
candidate function,候選函式,候選函數,cross_strait,,,
debit card,簽帳金融卡,借記卡,cross_strait,,,
prosthesis,義肢,假肢,cross_strait,截肢；復健；裝置；肢體,,
robust,強固；穩健,健壯,cross_strait,,,
robustness,強固性；穩健性,健壯性,cross_strait,,,
leggings / fitness pants,韻律褲,健美褲,cross_strait,,,
pseudocode,虛擬碼,偽代碼,cross_strait,,,
pseudo-relevance feedback,準相關回饋,偽相關回饋,cross_strait,,,
pseudo code,虛擬碼,偽碼,cross_strait,,,
Fourier,傅立葉,傅里葉,cross_strait,,,@person science (數學/物理)
backup file,備份檔案,備份文件,cross_strait,,,
sensing,感測,傳感,cross_strait,,,
sensor,感測器,傳感器,cross_strait,,,
traditional flavor,古早味,傳統風味,cross_strait,,,
pixel,畫素,像素,cross_strait,,,
false / pseudo (char variant),偽,僞,variant,,,MoE 標準字體 (假、不真實的意思)
pricing strategy,定價策略,價格策略,cross_strait,,,
dashboard,儀表板,儀表盤,cross_strait,,,
priority,優先順序,優先級,cross_strait,,,
priority inversion,優先權反轉,優先級反轉,cross_strait,,,
priority inheritance,優先權繼承,優先級繼承,cross_strait,,,priority inheritance 中的 priority 譯為「優先權」而非「優先級」(@seealso 優先順序繼承)
priority inversion,優先權反轉,優先順序反轉,cross_strait,,,priority inversion 中的 priority 譯為「優先權」而非「優先順序」，因反轉的是權利而非順序
priority inheritance,優先權繼承,優先順序繼承,cross_strait,,,priority inheritance 中的 priority 譯為「優先權」而非「優先順序」，與 inversion 同理 (@seealso 優先順序反轉)
odds ratio,勝算比,優勢比,cross_strait,統計；病例；風險；研究,,
optimize,最佳化,優化,cross_strait,,流程；體驗；服務,tw「優化」泛用於商業；IT optimize 改「最佳化」以區分 improve
Uber,Uber,優步,cross_strait,,,
USB flash drive,隨身碟,優盤,cross_strait,,,
UNIQLO,UNIQLO,優衣庫,cross_strait,,,
debit card,金融卡,儲蓄卡,cross_strait,銀行；提款；帳戶；刷卡,,
metadata,,元數據,cross_strait,,,源自希臘文 meta- (關於) + data (資料)，原意為「描述資料的資料」。preferred: metadata；可接受: 詮釋資料 / 後設資料；rejected: 元資料
New Year countdown,跨年倒數,元旦倒計時,cross_strait,,,cn 「倒計時」；tw 用「倒數」
metaprogramming/meta-programming,超程式設計,元編程,cross_strait,,,
metadata,,元資料,cross_strait,,,`元資料` 為機械式 Sinification (從 `元數據` 字面替換而來)，無 NAER / MoE 立足點。preferred: metadata；可接受替代: 詮釋資料 / 後設資料
vowel,母音,元音,cross_strait,,,
vowel letter,母音字母,元音字母,cross_strait,,,compound:「元音字母」整體替換，避免基礎規則「元音→母音」留下孤立的「字母」(@seealso 元音)
sibling node,平輩節點,兄弟節點,cross_strait,,,避免父權語彙。sibling 為中性詞，「平輩」明確表達同一層級的血緣關係而不指定性別
partner school,姊妹校,兄弟院校,cross_strait,,,
top-up/recharge,加值；儲值,充值,cross_strait,,,
power bank,行動電源,充電寶,cross_strait,,,
prior probability,事前機率,先驗機率,cross_strait,,,
photovoltaic/solar panel,太陽能板,光伏,cross_strait,,,
lithography machine,曝光機,光刻機,cross_strait,,,
honor roll,榮譽榜,光榮榜,cross_strait,,,
cursor,游標,光標,cross_strait,,,
optical disc,光碟,光盤,cross_strait,,,
optical drive,光碟機,光驅,cross_strait,,,
Croatia,克羅埃西亞,克羅地亞,cross_strait,,,@geo country (國名)
clone,複製,克隆,cross_strait,,,git 或類似命令的語境可保留英文
hands-free/speakerphone,擴音,免提,cross_strait,,,
deductible,自負額,免賠額,cross_strait,保險；理賠；保單；醫療,,
children's activity center,兒童活動中心,兒童文化宮,cross_strait,,,
inbound marketing,集客式行銷,入站行銷,cross_strait,,,
mainland,中國大陸；中國,內地,political_coloring,,,區分地理區域與國家/政治實體。「內地」隱含 cn 政治立場
memory (RAM),記憶體,內存,cross_strait,,,區分 RAM (記憶體) 與 ROM/Flash (儲存空間)
memory allocation,記憶體配置,內存分配,cross_strait,,,cn: 內存分配 → tw: 記憶體配置 (@seealso 記憶體分配)
inner class,內部類別,內嵌類,cross_strait,,,
kernel,核心,內核,cross_strait,Linux；視窗；安卓；作業系統；驅動；系統呼叫；核心模組；OS,,限 IT 語境。天文領域也有「內核」，但指 inner core
kernel image,核心映像檔,內核映象,cross_strait,,,
kernel stack,核心堆疊,內核棧,cross_strait,,,
core dump,記憶體傾印,內核轉儲,cross_strait,,,
kernel image,核心映像檔,內核鏡像,cross_strait,,,
endoscope,內視鏡,內窺鏡,cross_strait,檢查；手術；胃；腸,,
built-in,內建,內置,cross_strait,,,
Nairobi,奈洛比,內羅畢,cross_strait,,,@geo city (城市)
inline,行內；內嵌,內聯,cross_strait,,,CSS 語境 vs function 語境
inline function,行內函數,內聯函數,cross_strait,,,
inline expansion,行內展開,內聯展開,cross_strait,,,
intranet,內部網路,內部網,cross_strait,程式；軟體；系統；電腦；網路,,
global,全域,全局,cross_strait,,,
global object,全域物件,全局對象,cross_strait,,,
global,全域的,全局的,cross_strait,變數；變量；函式；函數；作用域；生存空間,,
global scope resolution operator,全域生存空間運算子,全局範圍解析操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
full-stack,全端,全棧,cross_strait,,,
broad market rally,長紅,全線飄紅,cross_strait,,,
full-width,全形,全角,cross_strait,,,
full-screen smartphone,全螢幕手機,全面屏手機,cross_strait,,,
octree,八元樹,八叉樹,cross_strait,程式；軟體；系統；電腦；網路,,
octa-core,八核,八核心,cross_strait,,,"compound:octa-core = 八核 (@seealso CPU核心, 多核心)"
public bus,公車,公交,cross_strait,,,
public bus,公車,公交車,cross_strait,,,
public land mobile network,公用陸上行動網路,公共陸基移動網,cross_strait,,,
shared library,共享函式庫,共享庫,cross_strait,,,
compatible,相容,兼容,cross_strait,,,
bubble sort,泡沫排序；氣泡排序,冒泡排序,cross_strait,,,
power (mathematics),冪,冪次,cross_strait,,,cn 用「冪次」表示 power，tw 數學標準用「冪」（如「2 的 3 次冪」）或「乘冪」
popsicle,冰棒,冰棍,cross_strait,,,
ice cream,冰淇淋,冰激凌,cross_strait,,,
taxi,計程車,出租車,cross_strait,,,
outbound marketing,推廣式行銷,出站行銷,cross_strait,,,
functor,仿函式,函子,cross_strait,C++；編譯；程式；語法；STL；模板；樣板；多載；重載,範疇；範疇論；態射；自然變換；Hom；伴隨函子；遺忘函子,範疇論 (category theory) 的「函子」為正確數學術語，不應更正
function (math),函數,函式,confusable,sin；cos；tan；log；ln；exp；微積分；導數；積分；極限；收斂；可微；數學；方程式；方程；三角；指數；對數；多項式；線性代數,代碼；程式碼；編譯；軟件；軟體；呼叫；回傳值；回傳；宣告；引數；型別；物件；類別；模組；陣列；指標；介面；實作,限數學語境。「函式」是程式設計用語，數學中應用「函數」(@seealso 函數)
function,函式,函數,confusable,代碼；程式碼；編譯；軟件；軟體；變量；變數；調用；呼叫；返回值；回傳值,sin；cos；tan；log；ln；exp；微積分；導數；積分；極限；收斂；可微；數學；方程式；方程；三角；指數；對數；多項式；線性代數；函數分析,限程式設計語境 (衍生自數學函數的常式 routine)。數學語境中仍用「函數」。泛指 feature/capability 時應譯「功能」(@seealso 函式)
function object,函式物件,函數對象,cross_strait,,,
library,函式庫；程式庫,函數庫,cross_strait,,,
functional programming,函數式程式設計,函數式編程,cross_strait,,,
functional language,函數式程式語言,函數式語言,cross_strait,,,
function template,函式模板；函式範本,函數模板,cross_strait,,,
function call,函式呼叫,函數調用,cross_strait,代碼；程式碼；編譯；軟件；軟體；程式；API,sin；cos；tan；log；ln；exp；微積分；導數；積分；極限；收斂；可微；數學；方程式；方程；三角；指數；對數；多項式；線性代數；函數分析,"compound:函數＋調用 一次轉換。數學語境中 function 不會 call，而是 evaluate (代入/求值) (@seealso 函數, 調用)"
function overloaded resolution,函式多載決議,函數重載解決,cross_strait,,,
blade server,刀鋒伺服器,刀片服務器,cross_strait,,,
distributed,分散式,分佈式,cross_strait,,,
distributed computing,分散式計算,分佈式計算,cross_strait,,,
partition,分割區,分割槽,cross_strait,,,OpenCC 可能將「分区」轉為「分割槽」，tw 正確用語為「分割區」
divider,分隔線,分割線,cross_strait,UI；介面；排版；分隔,,
partition,分割區,分區,cross_strait,,,
split archive compression,分割壓縮,分卷壓縮,cross_strait,,,
distributed,分散式,分布式,cross_strait,程式；軟體；系統；電腦；網路,,
fractal,碎形,分形,cross_strait,,,
cutoff score,最低錄取標準,分數線,cross_strait,,,
analyzer,剖析器,分析器,cross_strait,程式；軟體；系統；電腦；網路,,
dispatch,發派,分派,cross_strait,函式；方法；呼叫；多型；事件,,
packet switching,封包交換,分組交換,cross_strait,,,
block cipher,區塊加密法,分組密碼,cross_strait,,,
group box,群組方塊,分組框,cross_strait,,,
allocate,配置,分配,cross_strait,記憶體；內存；malloc；heap；堆疊；指標；指針；位元組,,限記憶體配置語境。「分配工作」(assign/distribute) 為正確 tw 用法
splitter,分裂視窗,切分窗口,cross_strait,,,
Liechtenstein,列支敦斯登,列支敦士登,cross_strait,,,@geo country (國名)
list,串列,列表,cross_strait,資料結構；數組；陣列；鏈結；鏈表；遍歷；走訪,,限資料結構語境。UI 語境中「列表」通常應譯為「清單」
train conductor,車掌,列車員,cross_strait,,,
marshal,編列,列集,cross_strait,,,
elementary matrix,基本矩陣,初等矩陣,cross_strait,行列式；列運算；行變換；消去；高斯,,
Liberia,賴比瑞亞,利比裡亞,cross_strait,,,@geo country (國名)
Liberia,賴比瑞亞,利比里亞,cross_strait,,,@geo country (國名)
income statement / P&L,損益表,利潤表,cross_strait,財報；會計；營收；損益,,
scroll on phone,滑手機,刷手機,cross_strait,,,
refresh,重新整理,刷新,cross_strait,頁面；瀏覽器；網頁；載入；加載；快取；緩存；按鈕,TLB；cache；Cache；flush；快取刷新；指令管線,「刷新紀錄」(break a record) 為正確用法，不應替換。TLB 刷新、cache 刷新為 tw CS 標準用語 (flush)，不應替換
refresh rate,更新率,刷新率,cross_strait,,,
burn (disc),燒錄,刻錄,cross_strait,,,
disc burner,燒錄機,刻錄機,cross_strait,,,
razor,刮鬍刀,剃鬚刀,cross_strait,,,
prostate,攝護腺,前列腺,cross_strait,,,
forward error correction,正向錯誤校正,前向糾錯,cross_strait,,,
warning / high-energy ahead,注意；小心,前方高能,cross_strait,,,
cutting-edge/frontier,尖端；前瞻；先進,前沿,cross_strait,,,視語境選用：「尖端」(技術)、「前瞻」(研究)、「先進」(一般)
prefix,字首,前綴,cross_strait,,,
forward declaration,前置宣告,前置聲明,cross_strait,,,
cut,剪下；裁切,剪切,cross_strait,,,UI 操作 cut = 剪下；圖片裁剪 crop = 裁切
clipboard,剪貼簿,剪貼板,cross_strait,,,
adhesive bandage,OK 繃,創口貼,cross_strait,,,
band-aid/adhesive bandage,OK 繃,創可貼,cross_strait,,,
create,建立,創建,cross_strait,檔案；目錄；物件；帳號；資料庫,公司；國家；政黨；王朝,tw「創建」= found/establish (創建公司)；IT create 改「建立」
power amplifier,功率擴大機,功放,cross_strait,,,
feature phone,功能型手機,功能手機,cross_strait,,,
interest rate hike,升息,加息,cross_strait,利率；央行；貨幣；聯準會,,
Ghana,迦納,加納,cross_strait,,,@geo country (國名)
Gabon,加彭,加蓬,cross_strait,,,@geo country (國名)
load,載入,加載,cross_strait,,,
mnemonic,輔助記憶碼,助記符,cross_strait,程式；軟體；系統；電腦；網路,,
dynamic allocation,動態配置,動態分配,cross_strait,,,compound:dynamic allocation，常指動態記憶體配置
dynamic library,動態函式庫,動態庫,cross_strait,,,
dynamic binding,動態繫結,動態綁定,cross_strait,,,
labor insurance,勞工保險,勞動保險,cross_strait,,,
balance work and rest,適時休息,勞逸結合,cross_strait,,,
package manager,套件管理員,包管理器,cross_strait,npm；pip；apt；安裝；套件,,
free shipping,含運,包郵,cross_strait,,,
private room/booth,包廂,包間,cross_strait,,,
assembly,組譯,匯編,cross_strait,指令；暫存器；機器碼；CPU；組譯,,
assembly language,組合語言,匯編語言,cross_strait,,,
giga,十億,千兆,cross_strait,,,cn「兆」= 10^6 (百萬)，tw「兆」= 10^12，量級定義不同
kilogram,公斤,千克,cross_strait,,,
kilometer,公里,千米,cross_strait,,,
semi-guided tour,半自助式旅遊,半包價式旅遊,cross_strait,,,
small pickup truck,發財車,半截美,cross_strait,,,
half-width,半形,半角,cross_strait,,,
single-parent family,單親家庭,半邊家庭,cross_strait,,,
protocol,協定,協議,cross_strait,,,
blogger,部落客,博主,cross_strait,,,
grab attention,引人注目；吸睛,博取眼球,cross_strait,,,
doctoral student,博士班,博士研究生,cross_strait,,,
blog,部落格；網誌,博客,cross_strait,,,
Botswana,波札那,博茨瓦納,cross_strait,,,@geo country (國名)
placeholder,預留位置,占位符,cross_strait,程式；軟體；系統；電腦；網路,,
Carnegie Mellon University,卡內基·美隆大學,卡內基梅隆大學,cross_strait,,,@geo university (大學)
Qatar,卡達,卡塔爾,cross_strait,,,@geo country (國名)
Guatemala,瓜地馬拉,危地馬拉,cross_strait,,,@geo country (國名)
plug and play,隨插即用,即插即用,cross_strait,,,
just-in-time/in-time,及時,即時,cross_strait,JIT；編譯,,限 JIT 編譯語境; 即時通訊/即時系統中的「即時」不應改為「及時」(@seealso 實時)
uninstall,解除安裝；移除,卸載,cross_strait,,掛載；mount；umount；檔案系統；分割區,完整移除軟體 (uninstall) vs 移除某個元件/項目 (remove)
Ecuador,厄瓜多,厄瓜多爾,cross_strait,,,@geo country (國名)
Eritrea,厄利垂亞,厄立特里亞,cross_strait,,,@geo country (國名)
centimeter,公分,厘米,cross_strait,,,
source code,原始程式碼,原代碼,cross_strait,,,
source code,原始程式碼,原始碼,cross_strait,,,tw 標準用語為「原始程式碼」(source code)
atomic (concurrency/CPU),不可分割；atomic,原子,cross_strait,並發；並行；互斥；競態；執行緒；thread；atomic；mutex；CAS,物理；化學；中子；質子；粒子,"CS atomic 語境指 indivisible 操作；物理「原子」(atom) 為正確 tw 用法 (@seealso 原子操作, 原子性)"
atomicity,不可分割的特性；atomics,原子性,cross_strait,,,"CS atomicity；指操作不可被中斷的特性，與物理「原子」無關 (@seealso 原子, 原子操作)"
atomic operation,不可分割操作；最小操作；atomic operation,原子操作,cross_strait,,,"此處「原子」為 indivisible 語意，非物理學的 atom (@seealso 原子, 原子性)"
ballpoint pen,原子筆,原珠筆,cross_strait,,,
soundtrack,原聲帶,原音帶,cross_strait,,,
parameter,引數,參數,disabled,,,"tw: 參數=parameter (correct tw), 引數=argument. Rule disabled: flagging 參數 is a false positive."
parameter list,參數列,參數列表,cross_strait,,,
parameter list,參數列,參數表,cross_strait,,,
uninstall,解除安裝,反安裝,cross_strait,,,
ones' complement,一補數,反碼,cross_strait,,,
denormalization,解除規格化,反規範化,cross_strait,,,
feedback,回饋,反饋,cross_strait,,,
uncle node/parent's sibling node,親代的平輩節點,叔伯節點,cross_strait,,,避免父權語彙。parent's sibling 應譯為中性用語
address-of operator,取址運算子,取地址操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
award-winning product,得獎產品,受獎產品,cross_strait,,,
classical probability model,古典機率模型,古典概型,cross_strait,,,
handle,代號；控制代碼；控制代號,句柄,cross_strait,函式；檔案；程式碼；視窗；資源,,作為名詞時使用
save as,另存新檔,另存為,cross_strait,,,
read-only,唯讀,只讀,cross_strait,,,
removable,抽取式,可移動,cross_strait,程式；軟體；系統；電腦；網路,,
viable function,可行函式,可行函數,cross_strait,,,
visualization,視覺化,可視化,cross_strait,,,
Taichung,臺中,台中,variant,,,地名 (@in tw) MoE 標準用字 (地名用「臺」)
Taipei,臺北,台北,variant,,,地名 (@in tw) MoE 標準用字 (地名用「臺」)
Tainan,臺南,台南,variant,,,地名 (@in tw) MoE 標準用字 (地名用「臺」)
National Taiwan University,臺大,台大,variant,,,MoE 標準用字 (地名用「臺」，國立臺灣大學簡稱)
desktop computer,桌上型電腦,台式機,cross_strait,程式；軟體；系統；電腦；網路,,
desktop computer,桌上型電腦,台式電腦,cross_strait,,,
Taitung,臺東,台東,variant,,,地名 (@in tw) MoE 標準用字 (地名用「臺」)
Taiwan,臺灣,台灣,variant,,,MoE 標準用字 (地名用「臺」)
billiards,撞球,台球,cross_strait,,,
contract,合約,合同,cross_strait,簽訂；條款；甲方；乙方；履行,,
Djibouti,吉布地,吉布提,cross_strait,,,@geo country (國名)
Kyrgyzstan,吉爾吉斯,吉爾吉斯斯坦,cross_strait,,,@geo country (國名)
backward compatible,回溯相容,向下兼容,cross_strait,,,
value / substance,知識含量；潛在價值；內涵,含金量,cross_strait,,,
eye-catching,引人矚目；目不轉睛,吸引眼球,cross_strait,,,
flatter / butter up,拍馬屁,吹喇叭,cross_strait,,,
dial out,撥出,呼出,cross_strait,,,
call forwarding,來電轉接,呼叫轉移,cross_strait,,,
imperative programming,命令式程式設計,命令式編程,cross_strait,,,
curry,咖哩,咖喱,cross_strait,,,
hash,雜湊,哈希,cross_strait,,,意指將資料打散混雜再映射，採意譯「雜湊」描述其機制，非音譯
hash table,雜湊表,哈希表,cross_strait,,,
Kazakhstan,哈薩克,哈薩克斯坦,cross_strait,,,@geo country (國名)
Costa Rica,哥斯大黎加,哥斯達黎加,cross_strait,,,@geo country (國名)
Gothic art,哥德式藝術,哥特式藝術,cross_strait,,,
asthma,氣喘,哮喘,cross_strait,呼吸；過敏；症狀；治療,,
pump,幫浦,唧筒,cross_strait,水；液體；壓力；抽；管路；流量,,
business model,商業模式,商業模型,cross_strait,,,
trade secret,商業機密,商業秘密,cross_strait,,,
signature dish,招牌菜,商標菜,cross_strait,,,
open / start (char variant),啟,啓,variant,,,MoE 標準字體 (@example 開啟、啟發)
launch bar,啟動列,啟動欄,cross_strait,程式；軟體；系統；電腦；網路,,
boot disk,啟動磁碟,啟動盤,cross_strait,程式；軟體；系統；電腦；網路,,
boot switching,啟動切換,啟動轉換,cross_strait,,,
megaphone,擴音器,喇叭筒,cross_strait,,,
eat (char variant),吃,喫,variant,,,MoE 標準字體 (古體「喫」為文言用法)
Chomsky,杭士基,喬姆斯基,cross_strait,,,@person science (語言學/CS)
Steve Jobs,賈伯斯,喬布斯,cross_strait,,,@person tech (科技業)
cell,儲存格,單元格,cross_strait,程式；軟體；系統；電腦；網路,,
unary function,一元函式,單參函數,cross_strait,,,
SLR camera,單眼相機,單反相機,cross_strait,,,
click,點選；按一下,單擊,cross_strait,,,UI 操作 click
single-episode drama,單元劇,單本劇,cross_strait,,,
single-core,單核,單核心,cross_strait,,,"compound:single-core = 單核；processor core 用「核」(@seealso CPU核心, 多核心)"
microcontroller (MCU),微控制器,單片機,cross_strait,,,
radio button,選項按鈕；圓鈕,單選按鈕,cross_strait,,,
radio button,選項按鈕,單選框,cross_strait,表單；UI；選擇；勾選；介面,,
wizard (UI),精靈,嚮導,cross_strait,安裝；設定；配置；視窗；窗口；步驟；下一步,,非 UI 語境中「嚮導」仍正確 (如旅遊嚮導)
quadtree,四元樹,四叉樹,cross_strait,程式；軟體；系統；電腦；網路,,
quad-core,四核,四核心,cross_strait,,,"compound:quad-core = 四核 (@seealso CPU核心, 多核心)"
recycle bin,資源回收桶,回收站,cross_strait,刪除；檔案；桌面；清空；還原,,
playback,重播,回放,cross_strait,,,
regression analysis,迴歸分析,回歸分析,cross_strait,,,
rollback,回溯；還原,回滾,cross_strait,,,
callback,回呼,回調,cross_strait,,,有時翻譯為「回呼」
Enter key/carriage return,Enter,回車,cross_strait,,,
Enter key/Return key,Enter 鍵；輸入鍵,回車鍵,cross_strait,,,
Internet,網際網路,因特網,cross_strait,程式；軟體；系統；電腦；網路,,
solid compression,結實壓縮,固實壓縮,cross_strait,,,
SSD (solid-state drive),固態硬碟,固態硬盤,cross_strait,,,
chess,西洋棋,國際象棋,cross_strait,,,
parentheses,小括弧；小括號,圓括弧,cross_strait,,,
parentheses,小括弧；小括號,圓括號,cross_strait,,,
ballpoint pen,原子筆,圓珠筆,cross_strait,,,
cabbage,高麗菜,圓白菜,cross_strait,,,
image,影像；圖片,圖像,cross_strait,,,照片/圖檔 = 圖片 (image file)；電腦視覺/處理 = 影像 (visual image)
pixel,畫素,圖元,cross_strait,,,
photo gallery,相簿,圖庫,cross_strait,,,
computer graphics,圖學,圖形學,cross_strait,程式；軟體；系統；電腦；網路,,
GUI,圖形介面,圖形界面,cross_strait,,,
graphing calculator,繪圖計算機,圖形計算器,cross_strait,,,
icon,圖示,圖標,cross_strait,,,
Tuvalu,吐瓦魯,圖瓦盧,cross_strait,,,@geo country (國名)
image,影像,圖象,cross_strait,,,
Earth God,土地公,土地爺,cross_strait,,,
Turkmenistan,土庫曼,土庫曼斯坦,cross_strait,,,@geo country (國名)
potato,馬鈴薯,土豆,cross_strait,,,tw 「土豆」指花生 (peanuts)，語意完全不同
online,線上,在線,cross_strait,,線性；線路；線段,
Guyana,蓋亞那,圭亞那,cross_strait,,,@geo country (國名)
address,位址,地址,confusable,記憶體；內存；IP；MAC；網路；網絡；指標；指針；暫存器,,限 IT 語境。家庭/郵寄地址為正確 tw 用法
address bar,位址列,地址欄,cross_strait,,,
address space,定址空間,地址空間,cross_strait,作業系統；行程；執行緒；排程；OS,,限 IT 語境
coordinate system,座標系統；座標系,坐標系,cross_strait,直角；極；笛卡兒；卡氏；向量；平面,,cn「坐標」= tw「座標」；cn「系」= tw「系統」
Tanzania,坦尚尼亞,坦桑尼亞,cross_strait,,,@geo country (國名)
trash can / recycle bin,垃圾桶,垃圾箱,cross_strait,,,
Ethiopia,衣索比亞,埃塞俄比亞,cross_strait,,,@geo country (國名)
Eiffel Tower,艾菲爾鐵塔,埃菲爾鐵塔,cross_strait,,,@geo landmark (地標)
metropolitan area network (MAN),都會網路,城域網,cross_strait,,,
domain name,網域,域名,cross_strait,DNS；網址；註冊；伺服器；網站,,
port,通訊埠；連接埠,埠口,cross_strait,,,
training,教育訓練,培訓,cross_strait,,,
basis vector,基底向量,基向量,cross_strait,,,
genome,基因體,基因組,cross_strait,,,例：中央研究院基因體研究中心
baseband,基頻,基帶,cross_strait,,,
object based,以物件為基礎的,基於對象的,cross_strait,,,
message based,以訊息為基礎的,基於消息的,cross_strait,,,
base station,基地台,基站,cross_strait,,,
Kiribati,吉里巴斯,基裡巴斯,cross_strait,,,@geo country (國名)
Kiribati,吉里巴斯,基里巴斯,cross_strait,,,@geo country (國名)
base class,基底類別；基礎類別,基類,cross_strait,繼承；衍生；多型；類別；class；派生,,
heap,堆積,堆,cross_strait,記憶體；memory；malloc；free；heap；配置；分配；釋放；GC,,
stack,堆疊,堆棧,cross_strait,,,cn 常用「堆棧」表示 stack; 若無此規則，個別規則 堆→堆積 + 棧→堆疊 會產生錯誤的「堆積堆疊」
news report,報導,報道,cross_strait,,,
field-effect transistor (FET),場效電晶體,場效應管,cross_strait,,,
scenario,情境,場景,confusable,應用；部署；測試；系統；開發；架構；軟件；軟體；程式；行程；核心；記憶體；CPU,,限 IT 語境。電影/戲劇場景為正確 tw 用法
